식당,요일열,표행,메뉴텍스트,추정_재료,알레르기_요약
교직원식당,월(03.30),0,중식 [정식: 6000원] 11:30~13:30 잡곡밥 매운순대국 두부양념구이 너비아니조림 깻잎지 깍두기,"잡곡, 순대, 돼지고기, 두부, 쇠고기, 깻잎, 배추","돼지고기 — 매운순대국, 너비아니조림 때문에 / 대두 — 두부양념구이 때문에 / 밀 — 너비아니조림 때문에 / 쇠고기 — 너비아니조림 때문에"
교직원식당,월(03.30),1,석식 [정식: 6000원] 17:00~18:30 닭갈비덮밥 팽이버섯장국 메밀전병구이 천사채황도샐러드 오이부추생채 배추김치,"닭고기, 팽이버섯, 메밀, 황도, 천사채, 오이, 부추, 배추",닭고기 — 닭갈비덮밥 때문에 / 메밀 — 메밀전병구이 때문에 / 밀 — 메밀전병구이 때문에 / 복숭아 — 천사채황도샐러드 때문에
교직원식당,화(03.31),0,중식 [정식: 6000원] 11:30~13:30 잡곡밥 참치김치찌개 양파돈가스 실곤약야채무침 애느타리버섯구이 락교단무지무침,"쌀, 잡곡, 참치, 김치, 돼지고기, 양파, 돈가스, 실곤약, 채소, 애느타리버섯, 락교, 단무지",돼지고기 — 돈가스 / 대두 — 돈가스 (튀김옷 등) / 밀 — 돈가스 (튀김옷 등) / 고등어 — 참치 (일부 참치 통조림) / 새우 — 돈가스 (튀김옷 등)
교직원식당,화(03.31),1,석식 [정식: 6000원] 17:00~18:30 잡곡밥 물떡어묵국 생선까스 볶은멸치조림 고사리들깨볶음 얼갈이시저샐러드 깍두기,"쌀, 잡곡, 떡, 어묵, 생선, 멸치, 고사리, 들깨, 채소, 양상추, 깍두기","밀 — 어묵, 생선까스 (튀김옷 등) / 대두 — 어묵, 생선까스 (튀김옷 등) / 생선 — 생선까스 / 멸치 — 볶은멸치조림 / 새우 — 어묵 (일부)"
교직원식당,수(04.01),0,중식 [정식: 6000원] 11:30~13:30 콩나물밥 열무된장국 돈육오징어볶음 감자크로켓 솎음배추생채 알타리김치 초코쌀뻥,"쌀, 콩나물, 열무, 된장, 돼지고기, 오징어, 감자, 크로켓, 배추, 알타리김치, 초코, 쌀뻥","돼지고기 — 돈육오징어볶음 / 오징어 — 돈육오징어볶음 / 밀 — 크로켓 (튀김옷 등) / 대두 — 크로켓 (튀김옷 등), 된장 / 우유 — 초코쌀뻥 (성분)"
교직원식당,수(04.01),1,석식 [정식: 6000원] 17:00~18:30 김치볶음밥 유부장국 치킨너겟/소스 맛김구이 참나물겉절이 고들빼기무침 깍두기,"쌀, 김치, 유부, 닭고기, 치킨너겟, 소스, 김, 참나물, 고들빼기, 깍두기","밀 — 치킨너겟 (튀김옷 등) / 대두 — 치킨너겟 (튀김옷 등), 소스 / 닭고기 — 치킨너겟 / 새우 — 치킨너겟 (일부)"
교직원식당,목(04.02),0,중식 [정식: 6000원] 11:30~13:30 산채비빔밥 계란야채국 미트볼조림 도토리묵무침 배추김치 포켓팝콘,"쌀, 각종 산채나물, 계란, 각종 야채, 미트볼(돼지고기, 쇠고기 등), 도토리묵, 배추, 옥수수, 밀가루","계란 — 계란야채국 / 돼지고기 — 미트볼조림 (미트볼은 주로 돼지고기 사용) / 쇠고기 — 미트볼조림 (미트볼은 쇠고기 포함 가능) / 밀 — 미트볼조림 (가공육에 밀가루 사용 가능), 포켓팝콘 (튀김옷에 밀가루 사용 가능) / 대두 — 미트볼조림 (양념에 대두 포함 가능)"
교직원식당,목(04.02),1,석식 [정식: 6000원] 17:00~18:30 잡곡밥 부대찌개 김말이튀김강정 쥐어채볶음 시금치무침 깍두기 캔매실음료,"잡곡, 햄, 소시지, 김치, 김, 쥐어채, 시금치, 무, 매실","돼지고기 — 부대찌개 (햄, 소시지 등) / 밀 — 김말이튀김강정 (튀김옷에 밀가루 사용 가능) / 대두 — 부대찌개 (양념에 대두 포함 가능), 김말이튀김강정 (튀김옷에 대두유 사용 가능) / 고등어 — 쥐어채볶음 (쥐어채는 쥐치류로 고등어와는 다르지만, 유사한 어류 알레르기 유발 가능성 고려)"
교직원식당,금(04.03),0,중식 [정식: 6000원] 11:30~13:30 잡곡밥 옹심이만두미역국 순살치킨강정 어묵야채볶음 무샐러리장아찌 배추김치,"잡곡, 만두피(밀가루), 감자(옹심이), 미역, 닭고기, 어묵, 각종 야채, 무, 샐러리, 배추","밀 — 옹심이만두미역국 (만두피에 밀가루 사용), 순살치킨강정 (튀김옷에 밀가루 사용) / 닭고기 — 순살치킨강정 / 대두 — 어묵야채볶음 (어묵에 대두 포함 가능), 순살치킨강정 (튀김옷에 대두유 사용 가능) / 계란 — 어묵야채볶음 (어묵에 계란 포함 가능)"
교직원식당,금(04.03),1,석식 [정식: 6000원] 17:00~18:30 잡곡밥 돼지찌개 오징어미나리무침 야채계란찜 해쉬브라운감자구이 배추김치,"잡곡, 돼지고기, 오징어, 미나리, 계란, 각종 야채, 감자, 배추","돼지고기 — 돼지찌개 / 오징어 — 오징어미나리무침 / 계란 — 야채계란찜 / 밀 — 해쉬브라운감자구이 (가공품에 밀가루 사용 가능) / 대두 — 돼지찌개 (양념에 대두 포함 가능), 해쉬브라운감자구이 (가공품에 대두유 사용 가능)"
분식당,월(03.30),0,일품요리 11:00~14:00 16:00~18:30 등촌샤브칼국수 하이라이스&우리쌀치킨강정 라면류 돈가스류,"쇠고기, 돼지고기, 닭고기, 밀가루, 쌀, 채소, 버섯, 계란, 우유, 대두","쇠고기 — 등촌샤브칼국수 / 돼지고기 — 돈가스류 / 닭고기 — 우리쌀치킨강정 / 밀가루 — 칼국수, 하이라이스, 라면류, 돈가스류 / 계란 — 하이라이스, 라면류, 돈가스류 / 우유 — 하이라이스 / 대두 — 치킨강정 소스, 하이라이스 소스, 라면류, 돈가스류"
분식당,화(03.31),0,일품요리 11:00~14:00 16:00~18:30 장터국밥 날치알참치회덮밥 라면류 돈가스류,"쇠고기, 돼지고기, 참치, 날치알, 쌀, 채소, 밀가루, 계란, 대두","쇠고기 — 장터국밥 / 돼지고기 — 돈가스류 / 참치 — 날치알참치회덮밥 / 날치알 — 날치알참치회덮밥 / 밀가루 — 라면류, 돈가스류 / 계란 — 참치회덮밥, 라면류, 돈가스류 / 대두 — 참치회덮밥 소스, 라면류, 돈가스류"
분식당,수(04.01),0,일품요리 11:00~14:00 16:00~18:30 치킨크림스튜우동 불닭덮밥 라면류 돈가스류,"닭고기, 밀가루, 우유, 크림, 쌀, 돼지고기, 계란, 대두","닭고기 — 치킨크림스튜우동 / 밀가루 — 우동, 라면류, 돈가스류 / 우유 — 크림스튜 / 돼지고기 — 돈가스류 / 계란 — 불닭덮밥, 라면류, 돈가스류 / 대두 — 불닭 소스, 라면류, 돈가스류"
분식당,목(04.02),0,일품요리 11:00~14:00 16:00~18:30 탄탄면 차돌국물떡볶이 라면류 돈가스류,"돼지고기, 밀가루, 땅콩, 참깨, 쌀, 쇠고기, 채소, 계란, 대두","돼지고기 — 탄탄면, 돈가스류 / 밀가루 — 탄탄면, 라면류, 돈가스류 / 땅콩 — 탄탄면 / 참깨 — 탄탄면 / 쇠고기 — 차돌국물떡볶이 / 계란 — 라면류, 돈가스류 / 대두 — 탄탄면 소스, 떡볶이 소스, 라면류, 돈가스류"
분식당,금(04.03),0,일품요리 11:00~14:00 16:00~18:30 짜계치 모듬까스 라면류 돈가스류,"계란, 치즈, 돼지고기, 밀가루, 감자, 닭고기, 새우, 오징어, 조개류, 밀가루, 돼지고기","계란 — 짜계치에 계란이 들어갈 수 있음 / 우유 — 짜계치에 치즈가 들어갈 수 있음 / 돼지고기 — 짜계치에 돼지고기가 들어갈 수 있음 / 밀가루 — 모듬까스, 돈가스류에 튀김옷으로 사용될 수 있음 / 닭고기 — 모듬까스에 닭고기까스가 포함될 수 있음 / 새우 — 모듬까스에 새우까스가 포함될 수 있음 / 오징어 — 모듬까스에 오징어까스가 포함될 수 있음 / 조개류 — 모듬까스에 조개류까스가 포함될 수 있음 / 돼지고기 — 돈가스류에 돼지고기가 사용됨 / 밀가루 — 라면류에 면으로 사용됨"
